season,mh,germin_station,seed_position,seed_id,seed_mother,mother_origin,seed_color,sowing_date,revision_date,alive,emergence_date,death_date,day_since_sown,emerged_status
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-01-13,0,NA,NA,363,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-01-27,0,NA,NA,377,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-02-10,0,NA,NA,391,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-02-19,0,NA,NA,400,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-03-17,0,NA,NA,427,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-04-08,0,NA,NA,449,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-05-04,0,NA,NA,475,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-05-28,0,NA,NA,499,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-07-10,0,NA,NA,542,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-07-23,0,NA,NA,555,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-08-19,0,NA,NA,582,0
2018-19,FR,FR1,4B,2018-19_FR1_4B,mother_D,puntal,black,2019-01-15,2020-09-24,0,NA,NA,618,0
