mh_id,bird_sp,site,mh,sample_effort,n_seeds,n_seed_m2,sp_under,X_coord,Y_coord,length
PP15,Erithacus rubecula,Puntal,PP,0.168,7,41.666666666666664,Pinus pinea,-6.4457834,36.9643898,NA
PP15,Sturnus unicolor,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4457834,36.9643898,NA
PP15,Sylvia atricapilla,Puntal,PP,0.168,3,17.857142857142858,Pinus pinea,-6.4457834,36.9643898,NA
PP15,Sylvia melanocephala,Puntal,PP,0.168,14,83.33333333333333,Pinus pinea,-6.4457834,36.9643898,NA
PP2,Erithacus rubecula,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4456011,36.9645763,NA
PP2,Phoenicurus phoenicurus,Puntal,PP,0.168,2,11.904761904761903,Pinus pinea,-6.4456011,36.9645763,NA
PP2,Sturnus unicolor,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4456011,36.9645763,NA
PP2,Sylvia atricapilla,Puntal,PP,0.168,2,11.904761904761903,Pinus pinea,-6.4456011,36.9645763,NA
PP2,Sylvia melanocephala,Puntal,PP,0.168,4,23.809523809523807,Pinus pinea,-6.4456011,36.9645763,NA
PP3,Erithacus rubecula,Puntal,PP,0.168,3,17.857142857142858,Pinus pinea,-6.445685,36.9646569,NA
PP3,Ficedula hypoleuca,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.445685,36.9646569,NA
PP3,Fringilla coelebs,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.445685,36.9646569,NA
PP3,Phoenicurus phoenicurus,Puntal,PP,0.168,3,17.857142857142858,Pinus pinea,-6.445685,36.9646569,NA
PP3,Sturnus unicolor,Puntal,PP,0.168,15,89.28571428571428,Pinus pinea,-6.445685,36.9646569,NA
PP3,Sylvia atricapilla,Puntal,PP,0.168,3,17.857142857142858,Pinus pinea,-6.445685,36.9646569,NA
PP3,Sylvia communis,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.445685,36.9646569,NA
