site,year,collection,round,plant_id,total_fruits,fresh_fruits,red,black,dry,r_float,r_sink,b_float,b_sink,wasp,abort,partheno,wasp_dry,term,viab.p,unviab.p,wasp.p,abort.p,partheno.p,viab.se,unviab.se
puntal,2018-19,2018-19 early,1,305,348,346,330,16,2,187,143,1,15,0,31,13,NA,early,0.45664739884393063,0.5433526011560693,0,0.38281660535995793,0.16053599579611139,0.026778936160484254,0.026778936160484254
puntal,2019-20,2019-20 early,1,305,411,393,334,59,18,219,115,2,57,13,30,10,NA,early,0.43765903307888043,0.5623409669211196,0.03307888040712468,0.3969465648854962,0.13231552162849872,0.025024852982124517,0.025024852982124517
puntal,2019-20,2019-20 mid,2,305,84,20,18,2,64,16,2,0,2,0,17,1,NA,mid,0.2,0.8,0,0.7555555555555555,0.044444444444444446,0.0894427190999916,0.08944271909999157
puntal,2019-20,2019-20 late,3,305,41,32,27,5,9,27,0,5,0,0,10,0,NA,late,0,1,0,1,0,0,0
puntal,2018-19,2018-19 early,1,306,249,243,234,9,6,215,19,3,6,25,29,10,NA,early,0.102880658436214,0.897119341563786,0.102880658436214,0.590587738735887,0.20365094439168513,0.019488967920354247,0.019488967920354247
puntal,2019-20,2019-20 early,1,306,658,556,476,80,102,358,118,1,79,44,34,6,NA,early,0.35431654676258995,0.64568345323741,0.07913669064748201,0.48156474820143885,0.08498201438848921,0.020284679490626716,0.020284679490626716
puntal,2019-20,2019-20 mid,2,306,375,313,308,5,62,286,22,0,5,72,36,4,NA,mid,0.08626198083067092,0.9137380191693291,0.23003194888178913,0.615335463258786,0.068370607028754,0.015868957328368627,0.015868957328368627
puntal,2019-20,2019-20 late,3,306,35,21,21,0,14,21,0,0,0,0,NA,NA,NA,late,0,1,0,NA,NA,0,0
puntal,2018-19,2018-19 early,1,307,256,244,211,33,12,160,51,3,30,1,27,12,NA,early,0.3319672131147541,0.6680327868852459,0.004098360655737705,0.4596469104665826,0.20428751576292564,0.030147518624718962,0.030147518624718962
puntal,2019-20,2019-20 early,1,307,95,71,63,8,24,57,6,0,8,7,26,4,NA,early,0.19718309859154928,0.8028169014084507,0.09859154929577464,0.6103286384976526,0.09389671361502348,0.047218688741835844,0.04721868874183584
