mh_id,bird_sp,seed_sp1,site,mh,sample_effort,n_seeds,n_seed_m2,sp_under,X_coord,Y_coord,length
306,Sylvia atricapilla,rubia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4452676,36.9656848,NA
306,Sylvia melanocephala,asparagus,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4452676,36.9656848,NA
306,Sylvia melanocephala,pistacia,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4452676,36.9656848,NA
306,Sylvia melanocephala,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4452676,36.9656848,NA
306,NA,pistacia,Puntal,PL,0.22,7,31.818181818181817,Pistacia lentiscus,-6.4452676,36.9656848,NA
307,Chloris chloris,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
307,Erithacus rubecula,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
307,Sylvia atricapilla,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
307,Sylvia melanocephala,daphne,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
307,Sylvia melanocephala,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
307,NA,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
308,Chloris chloris,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4453657,36.9657131,NA
308,Erithacus rubecula,pistacia,Puntal,PL,0.22,27,122.72727272727273,Pistacia lentiscus,-6.4453657,36.9657131,NA
308,Sylvia melanocephala,asparagus,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4453657,36.9657131,NA
308,Sylvia melanocephala,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4453657,36.9657131,NA
308,Sylvia melanocephala,rubia,Puntal,PL,0.22,6,27.272727272727273,Pistacia lentiscus,-6.4453657,36.9657131,NA
309,Chloris chloris,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445279,36.9655276,NA
309,Erithacus rubecula,asparagus,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.445279,36.9655276,NA
309,Erithacus rubecula,phillyrea,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445279,36.9655276,NA
309,Erithacus rubecula,pistacia,Puntal,PL,0.22,14,63.63636363636363,Pistacia lentiscus,-6.445279,36.9655276,NA
309,Sylvia melanocephala,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445279,36.9655276,NA
310,Erithacus rubecula,pistacia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.445324,36.9653638,NA
310,Sylvia melanocephala,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445324,36.9653638,NA
310,Sylvia melanocephala,pistacia,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.445324,36.9653638,NA
310,Sylvia melanocephala,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445324,36.9653638,NA
311,Erithacus rubecula,pistacia,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4454804,36.9653452,NA
311,Erithacus rubecula,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454804,36.9653452,NA
311,Sylvia melanocephala,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454804,36.9653452,NA
311,Sylvia melanocephala,pistacia,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4454804,36.9653452,NA
311,Sylvia melanocephala,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454804,36.9653452,NA
311,NA,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454804,36.9653452,NA
312,Chloris chloris,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Erithacus rubecula,pistacia,Puntal,PL,0.22,7,31.818181818181817,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sturnus unicolor,phillyrea,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sturnus unicolor,pistacia,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia atricapilla,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia atricapilla,pistacia,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia atricapilla,rubia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia atricapilla,smilax,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia borin,phillyrea,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia borin,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia communis,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia melanocephala,asparagus,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia melanocephala,phillyrea,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia melanocephala,pistacia,Puntal,PL,0.22,14,63.63636363636363,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia melanocephala,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
312,NA,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
313,Erithacus rubecula,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.446062,36.9647111,NA
313,Erithacus rubecula,myrtus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.446062,36.9647111,NA
