# file_name - name of the file containing the video of the event;;;;;;;;;;;;;;;;;;
# date - when the video was recorded;;;;;;;;;;;;;;;;;;
# plant - the individual plant at which the video was recorded;;;;;;;;;;;;;;;;;;
# black_availability - availability of black fruits in the branch measured as an observational percentage;;;;;;;;;;;;;;;;;;
# spp - bird species feeding;;;;;;;;;;;;;;;;;;
# no_fruits - total number of  fruits succesfully removed and usually swallowed (unless the bird leaves with the fruit on the beak to consume it other place);;;;;;;;;;;;;;;;;;
# beak_trials - total number of beak trials (succesful and not succesful);;;;;;;;;;;;;;;;;;
# fruit_black - number of black fruits consumed;;;;;;;;;;;;;;;;;;
# fruit_red - number of red frutis consumed;;;;;;;;;;;;;;;;;;
# fruit_NA - number of consumed fruits whose color is not appreciated.;;;;;;;;;;;;;;;;;;
# dropped_fruits - number of fruits droped;;;;;;;;;;;;;;;;;;
# flight_fruit - of the bird leaves with the fruit on the beak without swallowing it first;;;;;;;;;;;;;;;;;;
# arrival - minute in the video of bird arrival;;;;;;;;;;;;;;;;;;
# departure - minute in the video with bird departure;;;;;;;;;;;;;;;;;;
# duration - visit duration;;;;;;;;;;;;;;;;;;
# behav - bird behaviour (mostly feeding);;;;;;;;;;;;;;;;;;
# feeding - binary variable (yes/no);;;;;;;;;;;;;;;;;;
# full_visit - if the visit is fully recorded (yes) or if it is partial (no);;;;;;;;;;;;;;;;;;
# indiv_obs - observations for the specific video;;;;;;;;;;;;;;;;;;
##--------------------------------------##;;;;;;;;;;;;;;;;;;
##--------------------------------------##;;;;;;;;;;;;;;;;;;
##--------------------------------------##;;;;;;;;;;;;;;;;;;
file_name;date;plant;black_availability;spp;no_fruits;beak_trials;fruit_black;fruit_red;fruit_NA;dropped_fruits;flight_fruit;arrival;departure;duration;behav;feeding;full_visit;indiv_obs
20200128_18_S_mel.mp4;20200128;F;0.7;Sylvia melanocephala;1;1;0;0;1;0;no;0:00:02;0:00:46;0:44;feeding;yes;yes;
20200128_19_E_rub.mp4;20200128;I;0.8;Erithacus rubecula;NA;;;;;;;0:00:00;0:00:20;0:20;prob feeding;likely;no;
20200128_2_E_rub.mp4;20200128;A;0.8;Erithacus rubecula;3;3;2;0;1;0;no;0:00:02;0:00:16;0:14;feeding;yes;yes;
20200128_20_E_rub.mp4;20200128;I;0.8;Erithacus rubecula;2;2;1;0;1;0;yes;0:00:23;0:00:38;0:15:00;feeding;yes;yes;
20200128_21_E_rub.mp4;20200128;I;0.8;Erithacus rubecula;2;2;1;0;1;0;yes;0:00:04;0:00:05;0:01;feeding;yes;yes;leaves with fruit on beak
20200128_22_E_rub.mp4;20200128;I;0.8;Erithacus rubecula;1;1;1;0;0;0;yes;0:00:09;0:00:27;0:18;feeding;yes;yes;leaves with fruit on beak
20200128_23_E_rub.mp4;20200128;I;0.8;Erithacus rubecula;2;2;2;0;0;0;yes;0:00:01;0:00:15;0:14;feeding;yes;yes;flies over twice
20200128_24_E_rub.mp4;20200128;I;0.8;Erithacus rubecula;7;7;4;0;3;0;no;0:00:01;0:00:21;0:20;feeding;yes;yes;
20200128_25_E_rub.mp4;20200128;I;0.8;Erithacus rubecula;4;4;1;0;3;0;no;0:00:06;0:00:28;0:22;feeding;yes;yes;
20200128_3_E_rub.mp4;20200128;A;0.8;Erithacus rubecula;3;3;3;0;0;0;yes;0:00:09;0:00:20;0:11;feeding;yes;yes;
20200128_4_E_rub.mp4;20200128;A;0.8;Erithacus rubecula;1;1;0;0;1;0;no;0:00:18;0:00:37;0:19;feeding;yes;yes;
